Date,Category,Index
2017-02-14,HDPE,84.8
2017-02-07,HDPE,83.08
2017-02-01,HDPE,84.7
2017-03-31,HDPE,82.98
2017-03-24,HDPE,82.78
2017-03-17,HDPE,82.67
2017-03-10,HDPE,82.88
2017-03-03,HDPE,82.98
2017-04-30,HDPE,85.11
2017-04-23,HDPE,86.02
2017-04-16,HDPE,86.32
2017-04-09,HDPE,83.69
2017-04-02,HDPE,84.9
2017-05-31,HDPE,84.5
2017-05-24,HDPE,84.5
2017-05-17,HDPE,83.69
2017-05-10,HDPE,83.89
2017-05-03,HDPE,84.7
2017-06-30,HDPE,81.22
2017-06-23,HDPE,82.27
2017-06-16,HDPE,83.24
2017-06-09,HDPE,83.89
2017-06-02,HDPE,81.22
2017-07-31,HDPE,82.19
2017-07-24,HDPE,82.19
2017-07-17,HDPE,81.78
2017-07-10,HDPE,81.78
2017-07-03,HDPE,82.19
2017-08-31,HDPE,81.7
2017-08-24,HDPE,81.38
2017-08-17,HDPE,82.03
2017-08-10,HDPE,82.19
2017-08-03,HDPE,81.95
2017-09-30,HDPE,80.97
2017-09-23,HDPE,81.13
2017-09-16,HDPE,82.59
2017-09-09,HDPE,83.08
2017-09-02,HDPE,80.97
2017-10-31,HDPE,81.95
2017-10-24,HDPE,81.38
2017-10-17,HDPE,81.05
2017-10-10,HDPE,80.97
2017-10-03,HDPE,82.59
2017-11-30,HDPE,84.3
2017-11-23,HDPE,84.13
2017-11-16,HDPE,83.24
2017-11-09,HDPE,86.08
2017-11-02,HDPE,84.62
2017-12-31,HDPE,87.38
2017-12-24,HDPE,87.38
2017-12-17,HDPE,86.89
2017-12-10,HDPE,86.08
2017-12-03,HDPE,87.7
2018-01-31,HDPE,87.86
2018-01-24,HDPE,87.94
2018-01-17,HDPE,87.86
2018-01-10,HDPE,87.86
2018-01-03,HDPE,87.86
2018-02-28,HDPE,88.19
2018-02-21,HDPE,87.7
2018-02-14,HDPE,87.7
2018-02-07,HDPE,87.38
2018-02-01,HDPE,88.19
2018-03-31,HDPE,86.24
2018-03-24,HDPE,85.84
2018-03-17,HDPE,86.24
2018-03-10,HDPE,87.38
2018-03-03,HDPE,86.81
2018-04-30,HDPE,92.32
2018-04-23,HDPE,92.32
2018-04-16,HDPE,90.86
2018-04-09,HDPE,87.94
2018-04-02,HDPE,92.48
2018-05-31,HDPE,94.43
2018-05-24,HDPE,94.75
2018-05-17,HDPE,94.99
2018-05-10,HDPE,94.27
2018-05-03,HDPE,94.27
2018-06-30,HDPE,91.35
2018-06-23,HDPE,92.97
2018-06-16,HDPE,93.45
2018-06-09,HDPE,93.86
2018-06-02,HDPE,91.02
2018-07-31,HDPE,91.35
2018-07-24,HDPE,90.21
2018-07-17,HDPE,89.97
2018-07-10,HDPE,90.29
2018-07-03,HDPE,92.56
2018-08-31,HDPE,
2018-08-24,HDPE,92.4
2018-08-17,HDPE,93.54
2018-08-10,HDPE,93.21
2018-08-03,HDPE,
2018-09-30,HDPE,
2018-09-23,HDPE,
2018-09-16,HDPE,
2018-09-09,HDPE,
2018-09-02,HDPE,
2018-10-31,HDPE,
2018-10-24,HDPE,
2018-10-17,HDPE,
2018-10-10,HDPE,
2018-10-03,HDPE,
2018-11-30,HDPE,
2018-11-23,HDPE,
2018-11-16,HDPE,
2018-11-09,HDPE,
2018-11-02,HDPE,
2018-12-31,HDPE,
2018-12-24,HDPE,
2018-12-17,HDPE,
2018-12-10,HDPE,
2018-12-03,HDPE,
2014-01-31,PA6,68.33
2014-01-24,PA6,68.33
2014-01-17,PA6,68.67
2014-01-10,PA6,68.67
2014-01-03,PA6,68.33
2014-02-28,PA6,68.5
2014-02-21,PA6,68.67
2014-02-14,PA6,68.33
2014-02-07,PA6,68.5
2014-02-01,PA6,68.5
2014-03-31,PA6,68.17
2014-03-24,PA6,68.33
2014-03-17,PA6,68.33
2014-03-10,PA6,68.5
2014-03-03,PA6,68.83
2014-04-30,PA6,69.83
2014-04-23,PA6,69.83
2014-04-16,PA6,69.5
2014-04-09,PA6,69.83
2014-04-02,PA6,69.83
2014-05-31,PA6,69.67
2014-05-24,PA6,69.67
2014-05-17,PA6,69.67
2014-05-10,PA6,69.83
2014-05-03,PA6,69.67
2014-06-30,PA6,69.17
2014-06-23,PA6,69.33
2014-06-16,PA6,69.33
2014-06-09,PA6,69.5
2014-06-02,PA6,69.17
2014-07-31,PA6,69.17
2014-07-24,PA6,69.17
2014-07-17,PA6,69.17
2014-07-10,PA6,69.33
2014-07-03,PA6,69.17
2014-08-31,PA6,68.0
2014-08-24,PA6,67.83
2014-08-17,PA6,68.0
2014-08-10,PA6,68.33
2014-08-03,PA6,67.33
2014-09-30,PA6,65.33
2014-09-23,PA6,65.83
2014-09-16,PA6,66.17
2014-09-09,PA6,65.33
2014-09-02,PA6,65.33
2014-10-31,PA6,64.33
2014-10-24,PA6,64.33
2014-10-17,PA6,64.67
2014-10-10,PA6,65.33
2014-10-03,PA6,64.33
2014-11-30,PA6,62.83
2014-11-23,PA6,63.33
2014-11-16,PA6,63.67
2014-11-09,PA6,64.33
2014-11-02,PA6,62.83
2014-12-31,PA6,61.0
2014-12-24,PA6,61.5
2014-12-17,PA6,62.17
2014-12-10,PA6,60.0
2014-12-03,PA6,61.0
2015-01-31,PA6,54.0
2015-01-24,PA6,55.0
2015-01-17,PA6,58.33
2015-01-10,PA6,60.0
2015-01-03,PA6,54.0
2015-02-28,PA6,55.33
2015-02-21,PA6,55.33
2015-02-14,PA6,55.33
2015-02-07,PA6,56.67
2015-02-01,PA6,55.33
2015-03-31,PA6,53.33
2015-03-24,PA6,54.33
2015-03-17,PA6,54.0
2015-03-10,PA6,56.67
2015-03-03,PA6,52.67
2015-04-30,PA6,55.33
2015-04-23,PA6,55.0
2015-04-16,PA6,54.33
2015-04-09,PA6,55.33
2015-04-02,PA6,55.33
2015-05-31,PA6,54.67
2015-05-24,PA6,55.33
2015-05-17,PA6,55.33
2015-05-10,PA6,55.33
2015-05-03,PA6,53.33
2015-06-30,PA6,49.0
2015-06-23,PA6,52.67
2015-06-16,PA6,51.67
2015-06-09,PA6,48.0
2015-06-02,PA6,49.0
2015-07-31,PA6,43.67
2015-07-24,PA6,44.33
2015-07-17,PA6,46.67
2015-07-10,PA6,47.33
2015-07-03,PA6,43.67
2015-08-31,PA6,41.67
2015-08-24,PA6,42.33
2015-08-17,PA6,42.67
2015-08-10,PA6,43.67
2015-08-03,PA6,41.0
2015-09-30,PA6,43.0
2015-09-23,PA6,43.0
2015-09-16,PA6,42.33
2015-09-09,PA6,42.33
2015-09-02,PA6,43.0
2015-10-31,PA6,40.67
2015-10-24,PA6,42.33
2015-10-17,PA6,42.33
2015-10-10,PA6,42.33
2015-10-03,PA6,40.0
2015-11-30,PA6,39.0
2015-11-23,PA6,39.0
2015-11-16,PA6,38.33
2015-11-09,PA6,39.33
2015-11-02,PA6,39.67
2015-12-31,PA6,37.0
2015-12-24,PA6,38.33
2015-12-17,PA6,38.33
2015-12-10,PA6,39.67
2015-12-03,PA6,37.0
2016-01-31,PA6,37.0
2016-01-24,PA6,37.0
2016-01-17,PA6,37.0
2016-01-10,PA6,37.0
2016-01-03,PA6,37.0
2016-02-29,PA6,38.33
2016-02-22,PA6,38.33
2016-02-15,PA6,37.0
2016-02-08,PA6,39.33
2016-02-01,PA6,38.33
2016-03-31,PA6,42.67
2016-03-24,PA6,42.67
2016-03-17,PA6,40.67
2016-03-10,PA6,39.33
2016-03-03,PA6,42.67
2016-04-30,PA6,41.0
2016-04-23,PA6,42.33
2016-04-16,PA6,42.33
2016-04-09,PA6,43.0
2016-04-02,PA6,41.0
2016-05-31,PA6,39.0
2016-05-24,PA6,39.0
2016-05-17,PA6,39.33
2016-05-10,PA6,39.33
2016-05-03,PA6,39.0
2016-06-30,PA6,39.0
2016-06-23,PA6,39.0
2016-06-16,PA6,39.0
2016-06-09,PA6,39.33
2016-06-02,PA6,39.33
2016-07-31,PA6,41.33
2016-07-24,PA6,40.67
2016-07-17,PA6,40.0
2016-07-10,PA6,39.33
2016-07-03,PA6,41.33
2016-08-31,PA6,43.33
2016-08-24,PA6,43.33
2016-08-17,PA6,43.33
2016-08-10,PA6,43.0
2016-08-03,PA6,42.78
2016-09-30,PA6,42.6
2016-09-23,PA6,43.0
2016-09-16,PA6,43.0
2016-09-09,PA6,43.0
2016-09-02,PA6,42.6
2016-10-31,PA6,42.27
2016-10-24,PA6,41.93
2016-10-17,PA6,41.73
2016-10-10,PA6,42.6
2016-10-03,PA6,43.0
2016-11-30,PA6,53.13
2016-11-23,PA6,48.07
2016-11-16,PA6,46.27
2016-11-09,PA6,56.67
2016-11-02,PA6,53.6
